abbreviation	taxid_code	Species_name	Common_name	Order	Class	Taxonomic_Classification	Source	Phagy	Vory
AcrEch	103372	Acromyrmex_echinatior	Panamanian leafcutter ant	Hymenoptera	Insecta	Hymenoptera	OrthoDB 10v1	polyphagous	Herbivore
AcyPis	7029	Acyrthosiphon_pisum	pea aphid	Hemiptera	Insecta	Hemiptera	OrthoDB 10v1	oligophagous	Herbivore
AedAeg	7159	Aedes_aegypti	yellow fever mosquito	Diptera	Insecta	Diptera	OrthoDB 10v1	oligophagous	Omnivore
AedAlb	7160	Aedes_albopictus	Asian tiger mosquito	Diptera	Insecta	Diptera	OrthoDB 10v1	polyphagous	Omnivore
AetTum	116153	Aethina_tumida	small hive beetle	Coleoptera	Insecta	Coleoptera	OrthoDB 10v1	oligophagous	Omnivore
AgrPla	224129	Agrilus_planipennis	emerald ash borer	Coleoptera	Insecta	Coleoptera	OrthoDB 10v1	oligophagous	Herbivore
AmyTra	680683	Amyelois_transitella	navel orangeworm	Lepidoptera	Insecta	Lepidoptera	OrthoDB 10v1	polyphagous	Herbivore
AnoAlb	7167	Anopheles_albimanus		Diptera	Insecta	Diptera	OrthoDB 10v1	polyphagous	Omnivore
AnoAtr	41427	Anopheles_atroparvus		Diptera	Insecta	Diptera	OrthoDB 10v1	polyphagous	Omnivore
AnoChr	43041	Anopheles_christyi		Diptera	Insecta	Diptera	OrthoDB 10v1	polyphagous	Omnivore
AnoCul	139723	Anopheles_culicifacies		Diptera	Insecta	Diptera	OrthoDB 10v1	polyphagous	Omnivore
AnoDar	43151	Anopheles_darlingi		Diptera	Insecta	Diptera	OrthoDB 10v1	polyphagous	Omnivore
AnoDir	7168	Anopheles_dirus		Diptera	Insecta	Diptera	OrthoDB 10v1	polyphagous	Omnivore
AnoEpi	199890	Anopheles_epiroticus		Diptera	Insecta	Diptera	OrthoDB 10v1	polyphagous	Omnivore
AnoFar	69004	Anopheles_farauti		Diptera	Insecta	Diptera	OrthoDB 10v1	polyphagous	Omnivore
AnoFun	62324	Anopheles_funestus	African malaria mosquito	Diptera	Insecta	Diptera	OrthoDB 10v1	polyphagous	Omnivore
AnoGam	7165	Anopheles_gambiae		Diptera	Insecta	Diptera	Uniprot	oligophagous	Omnivore
AnoGla	217634	Anoplophora_glabripennis	Asian longhorned beetle	Coleoptera	Insecta	Coleoptera	OrthoDB 10v1	polyphagous	Herbivore
AnoMac	74869	Anopheles_maculatus		Diptera	Insecta	Diptera	OrthoDB 10v1	polyphagous	Omnivore
AnoMin	112268	Anopheles_minimus		Diptera	Insecta	Diptera	OrthoDB 10v1	polyphagous	Omnivore
AnoSin	74873	Anopheles_sinensis		Diptera	Insecta	Diptera	OrthoDB 10v1	polyphagous	Omnivore
AnoSte	30069	Anopheles_stephensi	Asian malaria mosquito	Diptera	Insecta	Diptera	OrthoDB 10v1	polyphagous	Omnivore
AphGly	307491	Aphis_glycines	soybean aphid	Hemiptera	Insecta	Hemiptera	OrthoDB 10v1	oligophagous	Herbivore
ApiDor	7462	Apis_dorsata		Hymenoptera	Insecta	Hymenoptera	Insectbase	polyphagous	Herbivore
ApiFlo	7463	Apis_florea		Hymenoptera	Insecta	Hymenoptera	Insectbase	polyphagous	Herbivore
ApiMel	7460	Apis_mellifera	western honey bee	Hymenoptera	Insecta	Hymenoptera	OrthoDB 10v1	polyphagous	Herbivore
AthRos	37344	Athalia_rosae	coleseed sawfly	Hymenoptera	Insecta	Hymenoptera	OrthoDB 10v1	oligophagous	Herbivore
AttCep	12957	Atta_cephalotes	Leaf Cutter ant	Hymenoptera	Insecta	Hymenoptera	i5K	????	????
AttCol	520822	Atta_colombica		Hymenoptera	Insecta	Hymenoptera	OrthoDB 10v1	polyphagous	Herbivore
BacDor	27457	Bactrocera_dorsalis		Diptera	Insecta	Diptera	i5k	polyphagous	Herbivore
BacLat	174628	Bactrocera_latifrons	Solanum fruit fly	Diptera	Insecta	Diptera	OrthoDB 10v1	polyphagous	Herbivore
BacOle	104688	Bactrocera_oleae	olive fruit fly	Diptera	Insecta	Diptera	OrthoDB 10v1	oligophagous	Herbivore
BelAnt	315563	Belgica_antarctica		Diptera	Insecta	Diptera	OrthoDB 10v1	polyphagous	Herbivore
BemTab	7038	Bemisia_tabaci	white fly	Hemiptera	Insecta	Hemiptera	OrthoDB 10v1	polyphagous	Herbivore
BicAny	110368	Bicyclus_anynana		Lepidoptera	Insecta	Lepidoptera	Lepbase	polyphagous	Herbivore
BlaGer	6973	Blattella_germanica	German cockroach	Blattodea	Insecta	Blattodea	OrthoDB 10v1	polyphagous	Omnivore
BomImp	132113	Bombus_impatiens	common eastern bumble bee	Hymenoptera	Insecta	Hymenoptera	OrthoDB 10v1	polyphagous	Herbivore
BomMor	7091	Bombyx_mori	domestic silkworm	Lepidoptera	Insecta	Lepidoptera	OrthoDB 10v1	oligophagous	Herbivore
BomTer	30195	Bombus_terrestris		Hymenoptera	Insecta	Hymenoptera	Insectbase	polyphagous	Herbivore
CaeEle	6239	Caenorhabditis_elegans	Worm	Rhabditida	Chromadorea	Nematoda	WormBase	polyphagous	Carnivore
CalCec	691633	Calycopis_cecrops		Lepidoptera	Insecta	Lepidoptera	Lepbase	????	????
CalSpl	52612	Calopteryx_splendens	banded demoiselle	Odonata	Insecta	Odonata	OrthoDB 10v1	polyphagous	Carnivore
CamAug	438502	Campodea_augens		Diplura	Entognatha	Diplura	OrthoDB 10v1	polyphagous	Omnivore
CamFlo	104421	Camponotus_floridanus	Florida carpenter ant	Hymenoptera	Insecta	Hymenoptera	OrthoDB 10v1	polyphagous	Omnivore
CarObs	286306	Cardiocondyla_obscurior		Hymenoptera	Insecta	Hymenoptera	OrthoDB 10v1	polyphagous	Omnivore
CatAqu	438503	Catajapyx_aquilonaris	i5k	Diplura	Entognatha	Diplura	OrthoDB 10v1	????	????
CenScu	218467	Centruroides_sculpturatus	Arizona bark scorpion	Scorpiones	Arachnida	Arachnida	OrthoDB 10v1	polyphagous	Carnivore
CepCin	211228	Cephus_cinctus	wheat stem sawfly	Hymenoptera	Insecta	Hymenoptera	OrthoDB 10v1	polyphagous	Omnivore
CerCal	156304	Ceratina_calcarata		Hymenoptera	Insecta	Hymenoptera	OrthoDB 10v1	polyphagous	Herbivore
CerCap	7213	Ceratitis_capitata	Mediterranean fruit fly	Diptera	Insecta	Diptera	OrthoDB 10v1	polyphagous	Herbivore
CerMar	326594	Ceratosolensolmsi_marchali		Hymenoptera	Insecta	Hymenoptera	OrthoDB 10v1	oligophagous	Herbivore
ChiSup	168631	Chilo_suppressalis	striped riceborer	Lepidoptera	Insecta	Lepidoptera	OrthoDB 10v1	oligophagous	Herbivore
CimLec	79782	Cimex_lectularius	bed bug	Hemiptera	Insecta	Hemiptera	OrthoDB 10v1	oligophagous	Carnivore
CliHoo	325643	Clitarchus_hookeri		Phasmatodea	Insecta	Phasmatodea	i5k	????	????
CluMar	568069	Clunio_marinus		Diptera	Insecta	Diptera	OrthoDB 10v1	polyphagous	Omnivore
CopFlo	29053	Copidosoma_floridanum		Hymenoptera	Insecta	Hymenoptera	OrthoDB 10v1	oligophagous	Carnivore
CulQui	7176	Culex_quinquefasciatus	Southern house mosquito	Diptera	Insecta	Diptera	OrthoDB 10v1	polyphagous	Omnivore
CypCos	456900	Cyphomyrmex_costatus		Hymenoptera	Insecta	Hymenoptera	OrthoDB 10v1	polyphagous	Herbivore
DanPle	13037	Danaus_plexippus	monarch butterfly	Lepidoptera	Insecta	Lepidoptera	OrthoDB 10v1	oligophagous	Herbivore
DapMag	35525	Daphnia_magna		Cladocera	Crustacea	Crustacea	OrthoDB 10v1	polyphagous	Omnivore
DapPul	6669	Daphnia_pulex		Cladocera	Crustacea	Crustacea	OrthoDB 10v1	polyphagous	Omnivore
DenPon	77166	Dendroctonus_ponderosae	mountain pine beetle	Coleoptera	Insecta	Coleoptera	OrthoDB 10v1	oligophagous	Herbivore
DiaAll	454923	Diachasma_alloeum		Hymenoptera	Insecta	Hymenoptera	OrthoDB 10v1	oligophagous	Carnivore
DiaCit	121845	Diaphorina_citri	Asian citrus psyllid	Hemiptera	Insecta	Hemiptera	OrthoDB 10v1	oligophagous	Herbivore
DinQua	609295	Dinoponera_quadriceps		Hymenoptera	Insecta	Hymenoptera	OrthoDB 10v1	polyphagous	Omnivore
DiuNox	143948	Diuraphis_noxia	Russian wheat aphid	Hemiptera	Insecta	Hemiptera	OrthoDB 10v1	oligophagous	Herbivore
DroAna	7217	Drosophila_ananassae		Diptera	Insecta	Diptera	OrthoDB 10v1	polyphagous	Herbivore
